GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
grievance_backend,com.example.demo.jjwtAuth,CustomUserDetailsService,32,3,2,0,6,1,2,1,1,1
grievance_backend,com.example.demo.jjwtAuth,CustomUserDetails,46,0,0,0,12,0,10,0,10,0
grievance_backend,com.example.demo.jjwtAuth,JwtUtil,71,3,4,0,16,1,7,1,5,1
grievance_backend,com.example.demo.jjwtAuth,JwtFilter,52,3,10,0,12,1,6,1,1,1
grievance_backend,com.example.demo.Controllers,GrievanceController,104,3,6,0,16,1,8,1,5,1
grievance_backend,com.example.demo.Controllers,StudentController,50,3,2,0,8,1,4,1,3,1
grievance_backend,com.example.demo.Controllers,MainController,224,3,14,0,39,1,15,1,8,1
grievance_backend,com.example.demo.Controllers,ManagerController,50,3,2,0,8,1,4,1,3,1
grievance_backend,com.example.demo.DaoServices,UserService,0,264,0,26,0,64,0,26,0,13
grievance_backend,com.example.demo.DaoServices,GrievanceService,155,3,34,0,33,1,23,1,6,1
grievance_backend,com.example.demo.DaoServices,EmailService,225,3,2,0,52,1,5,1,4,1
grievance_backend,com.example.demo.Config,SecurityConfig,0,95,0,0,0,19,0,4,0,4
grievance_backend,com.example.demo.Config,WebConfig,0,51,0,0,0,7,0,2,0,2
grievance_backend,com.example.demo,GrievanceBackendApplication,5,3,0,0,2,1,1,1,1,1
grievance_backend,com.example.demo.Entities,GrievanceEntity,49,8,0,0,21,2,14,1,14,1
grievance_backend,com.example.demo.Entities,ApiResponse,33,0,0,0,14,0,7,0,7,0
grievance_backend,com.example.demo.Entities,UserEntity,43,95,2,4,17,39,14,21,12,20
grievance_backend,com.example.demo.Dto,UserDto,0,45,0,0,0,15,0,13,0,13
grievance_backend,com.example.demo.Dto,StatusUpdateRequest,17,0,0,0,7,0,5,0,5,0
